id,languages,classifier,clfType,fileType
28457823,"['javascript', 'css', 'html', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
11730342,"['javascript', 'typescript', 'html', 'css', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
10270250,"['javascript', 'html', 'css', 'c++', 'typescript', 'c', 'shell', 'python']",C++-JavaScript_C-C++_Shell*_JavaScript*,FFI_IRI,"['.c', '.cpp', '.cpp', '.cc', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
2126244,"['javascript', 'css', 'html', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
291137,"['shell', 'python', 'ruby']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
2325298,"['c', 'c++', 'objective-c', 'shell', 'python']",C-C++_C-Python_Python*_Shell*_Java-C,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.c', '.py', '.sh', '.bsh', '.zsh', '.py']"
29028775,"['javascript', 'java', 'c++', 'objective-c', 'python', 'ruby', 'shell', 'html', 'c', 'css']",C-C++_JavaScript*_Shell*_C++-JavaScript_Java-C_C++-Objective-C_Java*,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.mm', '.cpp', '.cc', '.sh', '.bsh', '.zsh', '.java', '.ts', '.js', '.html']"
9384267,"['c++', 'typescript', 'javascript', 'python', 'objective-c', 'html', 'shell', 'css', 'c']",C-C++_JavaScript*_Shell*_C++-JavaScript_C++-Objective-C,FFI_IRI,"['.c', '.cpp', '.cpp', '.cc', '.mm', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
23088740,"['javascript', 'typescript', 'html']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
23096959,"['go', 'html', 'c', 'shell', 'javascript', 'python', 'c++']",C-C++_JavaScript*_Python*_Shell*_Go*_Ruby-Go_JavaScript-Go_C-Go,FFI_IRI,"['.c', '.cpp', '.go', '.go', '.go', '.go', '.sh', '.bsh', '.zsh', '.py', '.ts', '.js', '.html']"
27193779,"['javascript', 'c++', 'python', 'c', 'html', 'shell']",C-C++_C-Python_JavaScript*_Python*_Shell*_C++-JavaScript_Java-C,FFI_IRI,"['.c', '.cpp', '.cpp', '.cc', '.c', '.py', '.java', '.c', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.py']"
2561582,"['css', 'javascript']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
20580498,"['go', 'python', 'shell', 'c', 'ruby', 'html']",Shell*_C-Go_Go*_Ruby-Go,FFI_IRI,"['.go', '.go', '.go', '.sh', '.bsh', '.zsh']"
3470471,"['javascript', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
1039520,"['python', 'shell']",C-Python,FFI,"['.c', '.py']"
460078,"['javascript', 'html', 'shell', 'php', 'css']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
20929025,"['typescript', 'javascript', 'shell']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
1863329,"['php', 'html']",HI*,HI,['*']
24195339,"['typescript', 'javascript', 'html', 'python', 'css', 'shell', 'php']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
7691631,"['go', 'shell', 'c']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
22790488,"['java', 'html', 'css', 'shell', 'javascript']",JS-CSS-HTML*_Java-C_Java*,FFI_IRI_ID,"['.java', '.c', '.java', '.html', '.js', '.css']"
23083156,"['javascript', 'typescript', 'html', 'shell']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
167174,"['javascript', 'html', 'php', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3678731,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3228505,"['javascript', 'css', 'shell', 'html']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
1861458,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
596892,"['python', 'html', 'css']",JS-CSS-HTML*_Python*,IRI_ID,"['.py', '.html', '.js', '.css']"
9309093,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
237159,"['javascript', 'shell']",JavaScript*,IRI,"['.ts', '.js', '.html']"
8843683,"['javascript', 'shell', 'css']",Shell*_JavaScript*,IRI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
4164482,"['python', 'javascript', 'html', 'css', 'shell']",Shell*_C-Python_Python*_JavaScript*,FFI_IRI,"['.c', '.py', '.py', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
507775,"['java', 'shell', 'python', 'css', 'html']",Shell*_Java-C_Python*_Java*,FFI_IRI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh', '.py']"
7600409,"['javascript', 'shell']",JavaScript*,IRI,"['.ts', '.js', '.html']"
3544424,"['python', 'shell', 'ruby']",HI*,HI,['*']
14747598,"['javascript', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
10744183,"['c', 'python', 'javascript', 'shell', 'css', 'html', 'c++', 'php', 'objective-c']",C-C++_C-Python_JavaScript*_Python*_Shell*_Java-C,FFI_IRI,"['.c', '.cpp', '.c', '.py', '.java', '.c', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
26500787,"['shell', 'python', 'html', 'css']",Shell*_JS-CSS-HTML*,IRI_ID,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
486550,"['javascript', 'html']",JavaScript*,IRI,"['.ts', '.js', '.html']"
3402537,"['html', 'css', 'javascript', 'shell']",Shell*_JS-CSS-HTML*,IRI_ID,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
4311796,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
1424470,"['javascript', 'typescript', 'shell']",Shell*_JavaScript*,IRI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
724712,"['python', 'javascript', 'c++', 'shell', 'css', 'c', 'html', 'php']",Shell*_C-C++_C-Python_Python*,FFI_IRI,"['.c', '.cpp', '.c', '.py', '.sh', '.bsh', '.zsh', '.py']"
1181927,"['c++', 'python', 'c', 'shell', 'objective-c', 'java', 'html']",C-C++_C-Python_Python*_Shell*_C++-Objective-C,FFI_IRI,"['.c', '.cpp', '.c', '.py', '.mm', '.sh', '.bsh', '.zsh', '.py']"
5108051,"['c++', 'c', 'java', 'python', 'javascript', 'shell', 'html', 'objective-c']",C-C++_C-Python_Python*_Shell*_Java-C_C++-Objective-C,FFI_IRI,"['.c', '.cpp', '.mm', '.java', '.c', '.c', '.py', '.py', '.sh', '.bsh', '.zsh']"
7508411,"['java', 'css', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
3214406,"['javascript', 'typescript', 'shell', 'html', 'css', 'ruby', 'java']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
3638964,"['python', 'shell', 'go', 'javascript', 'c', 'html']",Shell*_C-Python_Python*_JavaScript*,FFI_IRI,"['.c', '.py', '.py', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
11180687,"['go', 'html', 'python', 'shell']",Shell*_Go*_Ruby-Go,FFI_IRI,"['.go', '.sh', '.bsh', '.zsh', '.go']"
156018,"['c', 'objective-c', 'ruby', 'shell', 'c++']",Shell*_C-C++_Java-C,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
12256376,"['typescript', 'html', 'css', 'javascript', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
23357588,"['c++', 'java', 'objective-c', 'c', 'python', 'php', 'javascript', 'ruby', 'shell', 'go']",C-C++_C-Python_JavaScript*_Shell*_Java-C_C++-Objective-C,FFI_IRI,"['.c', '.cpp', '.mm', '.java', '.c', '.c', '.py', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
65252,"['ruby', 'javascript', 'html', 'shell', 'css', 'php']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
24953448,"['css', 'html', 'javascript']",HI*,HI,['*']
612230,"['shell', 'javascript']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
9185792,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
843222,"['python', 'c++', 'c', 'shell']",Shell*_C-C++_Python*,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.py']"
19872456,"['javascript', 'objective-c', 'css', 'html', 'python', 'java', 'shell']",Shell*_Java-C_JavaScript*,FFI_IRI,"['.java', '.c', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
23974149,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3100121,"['javascript', 'c++', 'python', 'html', 'objective-c', 'shell', 'c', 'css']",C-C++_C-Python_JavaScript*_Python*_Shell*_C++-JavaScript_C++-Objective-C,FFI_IRI,"['.c', '.cpp', '.mm', '.cpp', '.cc', '.c', '.py', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
529502,"['python', 'html', 'shell']",Shell*_C-Python_Python*,FFI_IRI,"['.c', '.py', '.py', '.sh', '.bsh', '.zsh']"
5152285,"['java', 'shell']",Shell*_Java*,IRI,"['.sh', '.bsh', '.zsh', '.java']"
20300177,"['java', 'css', 'shell']",Shell*_Java-C_Java*,FFI_IRI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
24560307,"['javascript', 'typescript', 'shell', 'html']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
3065454,"['javascript', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
16408992,"['c', 'python', 'shell', 'css', 'html', 'ruby']",Shell*_Java-C_Python*,FFI_IRI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
892275,"['java', 'html', 'css', 'shell']",Shell*_JS-CSS-HTML*_Java*,IRI_ID,"['.sh', '.bsh', '.zsh', '.java', '.html', '.js', '.css']"
5271882,"['go', 'shell', 'python']",Shell*_Go*,IRI,"['.sh', '.bsh', '.zsh', '.go']"
15111821,"['typescript', 'go', 'html', 'css', 'shell', 'javascript', 'python', 'php']",Shell*_Python*_JavaScript*,IRI,"['.sh', '.bsh', '.zsh', '.py', '.ts', '.js', '.html']"
16752620,"['go', 'css', 'javascript', 'shell']",Shell*_Go*_JavaScript*,IRI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.go']"
15428480,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
22458259,"['ruby', 'objective-c']",HI*,HI,['*']
22887094,"['c++', 'c', 'shell', 'java', 'python']",Shell*_C-C++_Python*_Java*,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.java', '.py']"
1828795,"['objective-c', 'ruby', 'c']",HI*,HI,['*']
9852918,"['javascript', 'html', 'css', 'shell']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
29268051,"['html', 'css', 'javascript']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
10187082,"['javascript', 'shell', 'python']",Shell*_JavaScript*,IRI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
12888993,"['python', 'shell']",C-Python,FFI,"['.c', '.py']"
36502,"['c', 'shell', 'python', 'javascript', 'c++', 'go', 'css', 'objective-c', 'php']",C-C++_C-Python_JavaScript*_Python*_Shell*_Java-C,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.c', '.py', '.sh', '.bsh', '.zsh', '.py', '.ts', '.js', '.html']"
4710920,"['java', 'html', 'shell']",Shell*_Java-C_Java*,FFI_IRI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
2935735,"['javascript', 'html', 'css', 'php', 'shell', 'ruby']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
1129010,"['php', 'javascript', 'html', 'go', 'python', 'shell', 'css']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
3432266,"['java', 'javascript', 'html', 'typescript', 'css', 'shell', 'ruby', 'objective-c']",Shell*_Java-C_Java*_JavaScript*,FFI_IRI,"['.java', '.c', '.ts', '.js', '.html', '.java', '.sh', '.bsh', '.zsh']"
5483330,"['python', 'shell']",C-Python,FFI,"['.c', '.py']"
7569578,"['ruby', 'javascript', 'html', 'css', 'shell']",Shell*_Ruby*_JavaScript*,IRI,"['.ts', '.js', '.html', '.rb', '.sh', '.bsh', '.zsh']"
12791642,"['c++', 'python', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
14712850,"['go', 'html', 'javascript', 'css', 'shell']",Shell*_Go*_JavaScript*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.go']"
15062869,"['javascript', 'typescript', 'css', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
14370955,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
5923215,"['javascript', 'shell']",JavaScript*,IRI,"['.ts', '.js', '.html']"
11225014,"['go', 'shell']",Shell*_Go*,IRI,"['.sh', '.bsh', '.zsh', '.go']"
1663468,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
21413198,"['javascript', 'typescript', 'css', 'html', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
12972263,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
