id,classifier,clfType,fileType
28457823,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
11730342,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
10270250,C++-JavaScript,FFI,"['.cpp', '.cc']"
2126244,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
291137,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
6498492,HD*,Hidden dependence,['*']
943149,HD*,Hidden dependence,['*']
2325298,Java-C,FFI,"['.java', '.c']"
29028775,Java-C,FFI,"['.java', '.c']"
9384267,C++-JavaScript,FFI,"['.cpp', '.cc']"
21289110,HD*,Hidden dependence,['*']
23088740,HD*,Hidden dependence,['*']
23096959,C-Go,FFI,['.go']
27193779,C++-JavaScript,FFI,"['.cpp', '.cc']"
2561582,HD*,Hidden dependence,['*']
20580498,Ruby-Go,FFI,['.go']
3470471,HD*,Hidden dependence,['*']
1039520,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
460078,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
20929025,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1863329,HD*,Hidden dependence,['*']
24195339,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
7691631,C-Go,FFI,['.go']
22790488,Java-C,FFI,"['.java', '.c']"
23083156,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
167174,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3678731,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
21540759,HD*,Hidden dependence,['*']
3228505,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1861458,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
557980,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
596892,Python*,Implicit dependence,['.py']
9309093,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
237159,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
8843683,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
4164482,Python*,Implicit dependence,['.py']
507775,Java-C,FFI,"['.java', '.c']"
7600409,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3544424,HD*,Hidden dependence,['*']
18408635,HD*,Hidden dependence,['*']
14747598,HD*,Hidden dependence,['*']
10744183,C-Python,FFI,"['.c', '.py']"
26500787,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
486550,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3402537,HD*,Hidden dependence,['*']
4311796,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
21872392,HD*,Hidden dependence,['*']
3955647,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1424470,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
724712,C-Python,FFI,"['.c', '.py']"
1181927,C++-Ruby,FFI,['.mm']
5108051,C++-Ruby,FFI,['.mm']
7508411,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
3214406,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3638964,C-Python,FFI,"['.c', '.py']"
1362490,Python*,Implicit dependence,['.py']
11180687,Ruby-Go,FFI,['.go']
156018,Java-C,FFI,"['.java', '.c']"
12256376,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
23357588,C++-Ruby,FFI,['.mm']
65252,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
24953448,HD*,Hidden dependence,['*']
612230,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
9185792,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
843222,Python*,Implicit dependence,['.py']
19872456,Java-C,FFI,"['.java', '.c']"
1700621,HD*,Hidden dependence,['*']
23974149,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3100121,C++-Ruby,FFI,['.mm']
529502,Python*,Implicit dependence,['.py']
5152285,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
20300177,Java-C,FFI,"['.java', '.c']"
24560307,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3065454,HD*,Hidden dependence,['*']
20904437,HD*,Hidden dependence,['*']
16408992,Java-C,FFI,"['.java', '.c']"
892275,Java*,Implicit dependence,['.java']
21700699,HD*,Hidden dependence,['*']
5271882,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
15111821,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
16752620,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
15428480,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
22458259,HD*,Hidden dependence,['*']
22887094,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1828795,HD*,Hidden dependence,['*']
9852918,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
11167738,HD*,Hidden dependence,['*']
29268051,HD*,Hidden dependence,['*']
10187082,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12888993,Python*,Implicit dependence,['.py']
36502,Java-C,FFI,"['.java', '.c']"
4710920,Java-C,FFI,"['.java', '.c']"
2935735,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1129010,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3432266,Java-C,FFI,"['.java', '.c']"
5483330,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
7569578,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12791642,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
14712850,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
19148949,HD*,Hidden dependence,['*']
15062869,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
14370955,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
5923215,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
11225014,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1663468,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
21413198,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12972263,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12820537,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
6838921,Ruby-Go,FFI,['.go']
7190986,HD*,Hidden dependence,['*']
2573058,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
7741856,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
11551538,HD*,Hidden dependence,['*']
11267509,Java-C,FFI,"['.java', '.c']"
