language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,6499,0.4399539669645275,4229974129,0.07136004107481284,2870.7374463207025,0.4417,0.4126,0.306,1.0,7.491129659730792e-08
python,4407,0.2983346872461414,5061675517,0.08539091771842242,1886.9371472604284,0.4282,0.4354,0.1917,1.0,4.899835216581732e-07
java,2058,0.13931762794476035,6080390511,0.10257673058592418,1114.5137675861204,0.5416,0.4249,0.6327,1.0,5.380775246823103e-07
go,1406,0.09518007040346602,1745791434,0.029451657300738166,1029.497777044233,0.7322,0.3753,0.9544,1.0,1.372423272888913e-06
c++,2060,0.13945301922556189,8468523373,0.1428647451049913,816.1782218132099,0.3962,0.3815,0.2722,1.0,1.939385601994826e-07
typescript,1642,0.11115624153804494,1284486248,0.021669397642150978,768.2340238845178,0.4679,0.3932,0.4255,1.0,3.2651228945230417e-06
c,2542,0.17208231789872733,12498780122,0.21085553615473998,723.8549949839913,0.2848,0.3555,0.0633,1.0,6.787849606981892e-07
php,1220,0.08258868128892499,1773382731,0.02991712494360832,706.6419985297441,0.5792,0.439,0.8045,1.0,4.853107545655034e-07
ruby,2015,0.13640671540752775,942252317,0.01589588068233728,516.3934299547541,0.2563,0.3945,0.0127,1.0,7.778888343736985e-08
html,5195,0.3516788518819388,2269959342,0.038294416689865086,510.2470376212766,0.0982,0.1882,0.0181,1.0,1.28999638514946e-06
c#,859,0.05815055510425129,3978451371,0.06711682969933963,503.69895367435385,0.5864,0.4329,0.8315,1.0,4.3050049988116185e-06
shell,7047,0.477051177904143,429181938,0.0072403375978774874,446.34833398619907,0.0633,0.1976,0.0039,1.0,4.221580810755608e-07
swift,638,0.04318981857568373,247815740,0.004180673650967651,358.1485017736992,0.5614,0.4423,0.8318,1.0,8.825509154274586e-07
objective-c,1125,0.07615759545085296,380753611,0.006423347399234959,267.94737817555983,0.2382,0.3579,0.0219,1.0,1.15249538382534e-06
css,3714,0.25142160844841593,304860389,0.005143021970743458,254.67508825099944,0.0686,0.1543,0.0111,1.0,3.3881007355251255e-07
rust,368,0.024911995667479016,353584810,0.005965007301591913,227.5800572709224,0.6184,0.4349,0.921,1.0,6.379306259557568e-06
jupyter notebook,354,0.0239642567018684,3239103622,0.054643967188078055,164.73643745663654,0.4654,0.4137,0.376,1.0,2.0645203912679046e-05
kotlin,447,0.030259951259138912,214826725,0.0036241460236995987,163.92659551292462,0.3667,0.4067,0.1191,1.0,9.231257777334678e-07
