repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
42283287,html_javascript_typescript,0,9427,3,3411,15997,1028,19,5,0,1,13
47394776,javascript_shell,0,10267,3,2007,2218,285,4,0,0,0,4
2573058,html_javascript,0,119385,3,3489,17043,1361,7,1,0,0,6
53238813,ruby_shell,0,52351,7,3334,20480,808,40,0,1,0,39
29261473,go_shell,0,99597,4,2464,8484,354,140,43,2,4,91
41986369,go_shell,0,228337,5,2154,14110,727,147,135,0,1,11
2562751,html_java,0,240604,3,5029,3588,158,27,11,0,0,16
94498635,javascript_shell,0,19403,2,1454,1653,175,7,0,0,0,7
38558578,css_html_javascript_shell_typescript,0,5052,6,3417,3620,375,8,0,0,0,8
94367677,css_javascript_typescript,0,8643,4,2371,7066,768,2,0,0,0,2
49609581,c#_shell,0,79915,10,2360,8905,489,68,11,0,1,56
30969188,html_javascript,0,8736,2,1520,1457,243,2,1,0,0,1
74175805,go_shell,0,198558,8,1715,16151,887,326,76,1,3,246
1844251,css_html_javascript_shell,0,73004,4,3415,2905,381,14,10,0,1,3
698041,css_javascript,0,5831,4,4064,1798,272,4,1,1,0,2
18049133,css_html_javascript_ruby,0,3655,5,4732,11409,891,57,13,0,3,41
14098121,javascript_python,0,60237,19,1195,3297,83,5,1,0,0,4
135786093,css_javascript,0,2622,2,1168,1301,188,0,0,0,0,0
3577919,go_shell,0,10570,4,3610,20480,1933,373,2,0,0,371
39176269,javascript_typescript,0,16535,2,2028,1102,323,1,1,0,0,0
53631945,python_shell,0,4445,5,2267,3249,473,25,0,0,0,25
6988020,css_html_javascript_shell_typescript,0,60689,7,3083,1365,197,4,0,0,0,4
13840241,css_html_javascript_ruby,0,21651,7,2826,4073,180,6,2,0,0,4
349241,html_javascript,0,6362,2,4275,2753,345,5,4,0,0,1
23405758,c_cpp,0,1500,3,3736,1022,103,2,0,0,0,2
8575137,html_java,0,3909,5,2739,1016,115,1,0,0,0,1
29891188,javascript_shell,0,3276,2,2374,1867,185,8,0,0,0,8
33263118,css_html_javascript_python_shell,0,119003,6,2588,9175,155,6,0,0,0,6
458058,css_html_javascript_php,0,200767,7,1775,20000,1423,1075,32,49,5,989
30203935,css_html_javascript,0,220166,13,3762,20480,1573,33,0,0,0,33
1283503,javascript_shell,0,2290,2,3567,2270,358,14,5,0,0,9
32247847,html_javascript_shell_typescript,0,120406,6,2327,4846,521,10,8,1,0,1
3620194,html_javascript,0,12529,3,3384,2634,559,9,8,0,0,1
53127403,html_java_javascript,0,47540,8,1967,20480,846,39,3,0,0,36
317757,css_javascript,0,18700,5,4307,3012,418,5,0,0,0,5
52773157,javascript_shell_typescript,0,20383,3,1986,4734,775,4,1,0,0,3
6452529,cpp_python,0,279364,18,3135,20000,231,132,45,0,3,84
13078968,javascript_typescript,0,9137,2,2874,4134,466,1,0,0,0,1
67508428,css_html_java_javascript,0,600030,4,1786,1593,36,0,0,0,0,0
57222302,python_shell,0,4264,3,1919,1296,320,8,3,0,0,5
31085130,html_javascript,0,310017,2,2334,2143,91,1,1,0,0,0
25315643,css_html_javascript_python_shell,0,87026,9,1215,6116,125,25,8,0,0,17
790359,javascript_shell_typescript,0,29963,3,4001,8829,1110,24,8,0,0,16
13855476,go_shell,0,3713,2,2833,2250,302,8,8,0,0,0
7548986,php_shell,0,57207,5,2118,20000,2477,47,16,10,0,21
2700159,html_java,0,64912,8,3715,6462,244,4,2,0,0,2
13584262,javascript_shell,0,13601,2,2845,2994,193,25,3,0,5,17
5625464,c_python_shell,0,4268,7,3643,3299,412,1,0,0,0,1
2541284,html_typescript,0,6194,2,3586,1515,151,1,1,0,0,0
119811010,html_javascript_ruby,0,71761,4,1179,1727,74,0,0,0,0,0
64355429,css_javascript,0,32902,3,1433,3031,206,0,0,0,0,0
42920477,css_javascript,0,6508,2,3654,1348,79,4,0,0,0,4
137724480,javascript_typescript,0,84631,20,3645,10859,912,32,1,0,0,31
16607898,go_shell,0,28458,2,2727,3848,335,18,2,2,1,13
1116542,c_cpp_shell,0,28271,5,5427,5274,64,49,34,0,1,14
1028340,css_html_javascript_shell,0,39967,6,4131,7956,523,9,1,0,0,8
7607075,html_python,0,145650,5,3107,1085,166,0,0,0,0,0
1254497,css_html_javascript_shell,0,18359,4,3843,6972,1001,20,6,6,0,8
53370988,css_html_javascript_python_shell,0,89742,6,2022,4726,322,18,2,0,0,16
34757182,cpp_python,0,7768,2,2233,1281,88,1,0,0,0,1
519832,css_html_javascript_python_shell,0,50020,9,4181,9391,440,78,3,3,0,72
39840932,c_cpp_python_shell,0,9818,7,4773,3721,405,20,15,0,0,5
12244426,css_html_javascript,0,722,3,2885,2027,371,1,0,0,0,1
