antecedents,cluster_topics,consequents
python_shell,['kitchen plugins terraform configuration'],6
javascript_typescript,['kitchen plugins terraform configuration'],6
python_shell,['process configuration_management'],11
javascript_typescript,['process configuration_management'],11
javascript_shell,['command pastebin terminal output'],17
javascript_typescript,['workload automation system'],22
python_shell,['natural_language coursera course'],24
javascript_typescript,['async performant image component'],27
javascript_shell,['golang hardware discovery inspection library'],30
python_shell,['redis cache backend'],45
