language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,5839,0.48073439815577146,4158641795,0.07150207562407042,2210.7374463207066,0.3786,0.3877,0.1892,0.9999704115606242,7.491129659730792e-08
python,3959,0.3259509303474395,4942132142,0.08497310506192157,1438.9371472604284,0.3635,0.4121,0.099,0.9999727436775353,4.899835216581732e-07
java,1792,0.14753828420879303,5903904720,0.1015094500984176,848.5137675861222,0.4735,0.4142,0.4084,0.9999809607219694,5.380775246823103e-07
go,1201,0.09888028980734398,1679448010,0.02887577832793713,824.497777044233,0.6865,0.3881,0.9158,0.9999779075080711,1.372423272888913e-06
c++,2048,0.1686151819529063,8468023790,0.14559591983781506,804.1782218132099,0.3927,0.3798,0.266,0.9996733946107255,1.939385601994826e-07
typescript,1610,0.13255392721883746,1279328147,0.02199627244279063,736.2340238845178,0.4573,0.3898,0.4001,0.9998456368890186,3.2651228945230417e-06
c,2536,0.20879301827762226,12493579174,0.2148097592797504,717.8549949839913,0.2831,0.3542,0.063,0.9996534647728391,6.787849606981892e-07
html,5164,0.42516054668203523,2212797364,0.038045980457297755,479.24703762127626,0.0928,0.1753,0.0177,0.9989725147701002,1.28999638514946e-06
c#,782,0.06438333607772107,3822190272,0.06571725850654331,426.69895367435345,0.5457,0.4328,0.7081,0.9999801210502589,4.3050049988116185e-06
php,927,0.07632142269059773,1685450495,0.028978982729171775,413.6419985297437,0.4462,0.4242,0.3559,0.9999931971689396,4.853107545655034e-07
ruby,1866,0.15363082496295077,904608958,0.01555349590409422,367.3934299547536,0.1969,0.3469,0.0095,0.9999490373507604,7.778888343736985e-08
swift,613,0.05046929030133377,240749172,0.004139347977378835,333.1485017736992,0.5435,0.4421,0.7562,0.999509755424069,8.825509154274586e-07
shell,6915,0.5693232339864976,420139911,0.0072237228330487195,314.3483339861988,0.0455,0.1507,0.0037,0.9993752387801424,4.221580810755608e-07
objective-c,1118,0.09204676436686975,379799834,0.006530131180167536,260.9473781755599,0.2334,0.3539,0.0198,0.9990108275338759,1.15249538382534e-06
css,3697,0.30438004281244857,303405299,0.005216633146890618,237.6750882509995,0.0643,0.141,0.0111,0.9985089877010407,3.3881007355251255e-07
rust,320,0.02634612218014161,322443066,0.005543961135895122,179.58005727092245,0.5612,0.4387,0.799,0.9999869936574288,6.379306259557568e-06
jupyter notebook,336,0.02766342828914869,3159037039,0.05431525877833329,146.73643745663657,0.4367,0.4052,0.2954,0.9999977570490532,2.0645203912679046e-05
kotlin,416,0.034249958834184094,208303488,0.0035814894588038554,132.9265955129247,0.3195,0.3815,0.0909,0.9998304092290138,9.231257777334678e-07
scala,243,0.020006586530545035,342669294,0.00589172306282629,94.66091612534356,0.3896,0.4285,0.1073,0.9998742312088791,2.7807641765424503e-06
