antecedents,cluster_topics,consequents
6,['kitchen plugins terraform configuration'],python_shell
6,['kitchen plugins terraform configuration'],javascript_typescript
11,['process configuration_management'],python_shell
11,['process configuration_management'],javascript_typescript
17,['command pastebin terminal output'],javascript_shell
22,['workload automation system'],javascript_typescript
24,['natural_language coursera course'],python_shell
27,['async performant image component'],javascript_typescript
30,['golang hardware discovery inspection library'],javascript_shell
45,['redis cache backend'],python_shell
