label_id,repository_count,cluster_topics,languages,combinations
48,95,['environment'],"['javascript', 'typescript', 'java', 'shell', 'go', 'python', 'c', 'c#', 'c++', 'assembly', 'php', 'objective-c', 'ruby', 'perl']","{'javascript typescript': 7, 'java shell': 7, 'go shell': 7, 'javascript shell': 6, 'python shell': 6, 'javascript php': 4, 'javascript python': 3, 'c c# c++': 3, 'assembly c c++': 3, 'java javascript': 3, 'c c++ java': 3, 'ruby shell': 3, 'javascript ruby shell': 3, 'objective-c ruby': 3, 'c c++ python shell': 3, 'java javascript python': 2, 'java javascript shell': 2, 'javascript python shell': 2, 'c c++ java javascript': 2, 'go python': 2, 'assembly c c# c++': 2, 'php shell': 2, 'go javascript': 2, 'javascript shell typescript': 2, 'c objective-c ruby': 1, 'c c++ objective-c': 1, 'c c++ perl': 1, 'c c++': 1, 'c objective-c': 1, 'c java': 1, 'javascript ruby': 1, 'c# shell': 1, 'java javascript objective-c': 1, 'c shell': 1, 'java python': 1, 'c++ python': 1, 'javascript php shell': 1}"
30,18,['native video editing'],"['c', 'c++', 'objective-c', 'javascript', 'shell', 'typescript', 'ruby', 'python', 'assembly', 'php', 'java', 'go', 'c#']","{'javascript shell typescript': 2, 'java javascript': 2, 'c c++ objective-c': 1, 'javascript ruby shell': 1, 'python shell': 1, 'assembly c c++': 1, 'javascript php': 1, 'c c++ python shell': 1, 'c c++ javascript': 1, 'c c++ java javascript': 1, 'javascript python shell': 1, 'go javascript': 1, 'java javascript objective-c': 1, 'javascript typescript': 1, 'c c# c++': 1, 'c java': 1}"
42,192,['official_repository database access library'],"['c', 'c++', 'javascript', 'ruby', 'shell', 'typescript', 'python', 'java', 'go', 'c#', 'assembly', 'objective-c', 'php', 'perl']","{'javascript typescript': 18, 'c c# c++': 13, 'javascript shell': 9, 'go shell': 9, 'javascript shell typescript': 8, 'c c++ javascript': 7, 'python shell': 7, 'java javascript': 7, 'go javascript shell': 6, 'c c++ java': 6, 'objective-c ruby': 6, 'javascript python shell': 5, 'go javascript': 5, 'java shell': 5, 'c c++': 4, 'javascript ruby shell': 4, 'c c++ python shell': 4, 'javascript php': 4, 'assembly c c++': 3, 'c# shell': 3, 'java python': 3, 'java javascript objective-c ruby': 3, 'javascript php shell': 3, 'c go': 3, 'c objective-c ruby': 3, 'c javascript': 3, 'c c++ java javascript': 3, 'c# javascript': 3, 'go python': 3, 'c c#': 3, 'c c++ shell': 3, 'c python': 2, 'assembly c': 2, 'ruby shell': 2, 'c python shell': 2, 'java javascript shell': 2, 'c c++ objective-c': 2, 'javascript python': 2, 'javascript ruby': 1, 'java javascript python': 1, 'c c++ javascript python': 1, 'assembly c c#': 1, 'c c++ perl': 1, 'java javascript objective-c': 1, 'c shell': 1, 'c java': 1, 'c++ python': 1, 'c objective-c': 1, 'php shell': 1, 'c c++ python': 1}"
27,113,['network controller'],"['java', 'shell', 'javascript', 'c', 'python', 'ruby', 'typescript', 'c++', 'assembly', 'c#', 'objective-c', 'php', 'go', 'perl']","{'python shell': 10, 'javascript typescript': 9, 'javascript shell': 8, 'java shell': 7, 'javascript ruby shell': 6, 'go shell': 5, 'javascript python': 4, 'c c++ shell': 4, 'c java': 4, 'objective-c ruby': 4, 'java javascript': 4, 'javascript python shell': 3, 'c c++ javascript': 3, 'c shell': 3, 'javascript shell typescript': 3, 'c c++ python shell': 3, 'c c++ java': 3, 'c python shell': 2, 'assembly c': 2, 'c# javascript': 2, 'c c# c++': 2, 'c c++ objective-c': 2, 'assembly c c++': 2, 'javascript php': 2, 'javascript ruby': 2, 'java javascript shell': 2, 'c c++': 2, 'php shell': 2, 'java javascript python': 1, 'c javascript': 1, 'javascript php shell': 1, 'ruby shell': 1, 'java javascript objective-c': 1, 'c c#': 1, 'java javascript objective-c ruby': 1, 'c c++ perl': 1}"
19,148,['useful android network'],"['javascript', 'typescript', 'go', 'shell', 'java', 'php', 'c', 'c#', 'c++', 'python', 'ruby', 'assembly', 'objective-c']","{'javascript typescript': 16, 'javascript shell': 12, 'javascript shell typescript': 10, 'java shell': 9, 'go shell': 8, 'c# javascript': 8, 'python shell': 8, 'c c++': 7, 'javascript python': 4, 'javascript ruby shell': 4, 'c c++ javascript': 4, 'go python': 4, 'php shell': 3, 'javascript ruby': 3, 'javascript python shell': 3, 'c go': 3, 'javascript php': 3, 'c c# c++': 2, 'c java': 2, 'assembly c c++': 2, 'c objective-c': 2, 'c python shell': 2, 'c# shell': 2, 'c c++ java': 2, 'c c++ shell': 2, 'java javascript objective-c ruby': 2, 'go javascript': 2, 'c c++ python shell': 2, 'javascript php shell': 2, 'objective-c ruby': 2, 'c c++ python': 1, 'java python': 1, 'java javascript': 1, 'c c++ java javascript': 1, 'assembly c c# c++': 1, 'c++ python': 1, 'c javascript': 1, 'java javascript shell': 1, 'c python': 1, 'ruby shell': 1, 'go javascript shell': 1, 'c c++ objective-c': 1, 'java javascript python': 1}"
8,205,['terminal dashboard'],"['javascript', 'typescript', 'c', 'shell', 'python', 'c++', 'c#', 'php', 'go', 'java', 'ruby', 'assembly', 'objective-c', 'perl']","{'javascript typescript': 22, 'python shell': 20, 'javascript shell': 11, 'go shell': 9, 'objective-c ruby': 7, 'ruby shell': 7, 'c# javascript': 6, 'javascript php': 6, 'c c++ java': 6, 'javascript python': 6, 'assembly c c++': 6, 'c javascript': 5, 'c c++ objective-c': 5, 'java javascript': 5, 'java javascript python': 5, 'c# shell': 5, 'c c++ javascript python': 4, 'java python': 4, 'c c++': 4, 'java shell': 4, 'c c++ python shell': 4, 'go javascript': 4, 'c c++ javascript': 4, 'php shell': 4, 'javascript ruby shell': 3, 'assembly c c# c++': 3, 'c java': 3, 'java javascript objective-c ruby': 3, 'c c# c++': 3, 'c++ python': 3, 'javascript python shell': 2, 'c python shell': 2, 'go javascript shell': 2, 'javascript shell typescript': 2, 'java javascript shell': 2, 'c c++ python': 2, 'c go': 2, 'c shell': 2, 'c c#': 2, 'javascript php shell': 2, 'c python': 1, 'c c++ shell': 1, 'c c++ perl': 1, 'javascript ruby': 1}"
15,159,['client android'],"['javascript', 'typescript', 'shell', 'c', 'c#', 'c++', 'python', 'java', 'ruby', 'assembly', 'objective-c', 'php', 'go']","{'javascript shell': 12, 'javascript typescript': 11, 'javascript shell typescript': 10, 'go shell': 10, 'java shell': 8, 'assembly c c++': 7, 'python shell': 7, 'java javascript': 6, 'c c# c++': 5, 'javascript python shell': 5, 'c python shell': 4, 'c c++ objective-c': 4, 'c c++ java javascript': 4, 'c c++ shell': 3, 'ruby shell': 3, 'javascript php shell': 3, 'objective-c ruby': 3, 'php shell': 3, 'java python': 3, 'javascript ruby': 3, 'go python': 3, 'c c++ java': 3, 'java javascript objective-c ruby': 3, 'java javascript python': 3, 'c java': 2, 'c c++ javascript': 2, 'c go': 2, 'c# javascript': 2, 'go javascript shell': 2, 'c c++ javascript python': 2, 'javascript python': 2, 'c c#': 2, 'assembly c': 2, 'c javascript': 2, 'assembly c c# c++': 2, 'java javascript shell': 2, 'javascript ruby shell': 2, 'c c++ python': 1, 'c++ python': 1, 'c c++': 1, 'c c++ python shell': 1, 'javascript php': 1, 'c objective-c ruby': 1, 'c# shell': 1}"
23,301,['kitchen plugins terraform configuration'],"['c', 'c++', 'java', 'javascript', 'shell', 'typescript', 'python', 'objective-c', 'ruby', 'go', 'c#', 'assembly', 'php', 'perl']","{'python shell': 29, 'javascript typescript': 21, 'javascript shell': 20, 'javascript shell typescript': 16, 'javascript python shell': 14, 'objective-c ruby': 14, 'go shell': 13, 'javascript python': 13, 'c c# c++': 11, 'c# javascript': 11, 'c shell': 8, 'javascript ruby shell': 8, 'javascript php': 8, 'c++ python': 7, 'javascript php shell': 7, 'java javascript shell': 6, 'java shell': 5, 'c c++ python shell': 5, 'c javascript': 5, 'c c++ objective-c': 5, 'c c++': 5, 'javascript ruby': 5, 'java javascript': 5, 'c c++ java': 4, 'go javascript shell': 4, 'assembly c c++': 4, 'c c++ javascript': 4, 'c# shell': 4, 'c python shell': 4, 'assembly c c# c++': 3, 'ruby shell': 3, 'java javascript objective-c ruby': 3, 'c objective-c': 3, 'go python': 2, 'c go': 2, 'c python': 2, 'c c++ python': 2, 'c c++ javascript python': 2, 'c objective-c ruby': 2, 'c java': 2, 'java python': 2, 'c c++ shell': 2, 'go javascript': 1, 'php shell': 1, 'c c#': 1, 'c c++ java javascript': 1, 'java javascript python': 1, 'c c++ perl': 1}"
24,87,['source'],"['javascript', 'shell', 'python', 'assembly', 'c', 'c++', 'typescript', 'c#', 'go', 'ruby', 'java', 'php', 'perl', 'objective-c']","{'assembly c c++': 9, 'javascript shell': 8, 'javascript python shell': 4, 'javascript typescript': 4, 'javascript php shell': 4, 'python shell': 4, 'javascript python': 3, 'c c++': 3, 'javascript ruby': 3, 'go shell': 3, 'javascript shell typescript': 2, 'assembly c c# c++': 2, 'c c++ javascript': 2, 'c# shell': 2, 'javascript php': 2, 'c c++ java javascript': 2, 'c python shell': 2, 'c c++ java': 2, 'c c++ python shell': 2, 'c c# c++': 2, 'java shell': 2, 'c c++ shell': 2, 'javascript ruby shell': 2, 'c c++ objective-c': 2, 'c python': 1, 'c javascript': 1, 'c c#': 1, 'go javascript shell': 1, 'java javascript': 1, 'ruby shell': 1, 'c c++ javascript python': 1, 'assembly c': 1, 'c c++ python': 1, 'c c++ perl': 1, 'c go': 1, 'c++ python': 1, 'c shell': 1, 'go javascript': 1}"
1,229,['natural_language coursera course'],"['python', 'shell', 'ruby', 'java', 'javascript', 'objective-c', 'c', 'go', 'typescript', 'assembly', 'c++', 'c#', 'php', 'perl']","{'python shell': 19, 'javascript typescript': 15, 'javascript shell': 14, 'javascript python shell': 11, 'c c++ python shell': 10, 'javascript shell typescript': 9, 'java shell': 8, 'go javascript': 8, 'c c++ shell': 8, 'ruby shell': 7, 'c shell': 7, 'java javascript': 7, 'javascript php': 6, 'go shell': 6, 'c++ python': 6, 'c c++': 6, 'assembly c c++': 5, 'c c++ objective-c': 5, 'objective-c ruby': 5, 'javascript python': 5, 'c c++ javascript': 5, 'java javascript shell': 5, 'c java': 4, 'go python': 4, 'c c++ java': 4, 'c python shell': 4, 'java javascript objective-c ruby': 3, 'c c++ java javascript': 3, 'c c# c++': 3, 'php shell': 3, 'go javascript shell': 3, 'c# shell': 3, 'javascript ruby shell': 2, 'c c++ javascript python': 2, 'c objective-c': 2, 'c javascript': 2, 'assembly c': 2, 'javascript ruby': 2, 'javascript php shell': 2, 'c c++ perl': 1, 'assembly c c# c++': 1, 'c objective-c ruby': 1, 'java javascript python': 1}"
