antecedents,cluster_topics,consequents
javascript_typescript,['process configuration_management'],3
javascript_typescript,['world backend'],6
python_shell,['snowflake visual editor board'],15
javascript_shell,['snowflake visual editor board'],15
javascript_typescript,['snowflake visual editor board'],15
javascript_typescript,['archive content'],17
python_shell,['natural_language processing coursera course'],19
javascript_shell,['natural_language processing coursera course'],19
python_shell,['cordova phonegap plugin serial communication'],20
javascript_typescript,['enterprise_grade graphql server'],23
python_shell,['various aspect source github github amplify'],30
javascript_typescript,['various aspect source github github amplify'],30
python_shell,['bluetooth small memory footprint'],44
javascript_typescript,['bluetooth small memory footprint'],44
